-Infini;+Infini;+Infini;359,2144;121,9052;-2,134635E-07
-Infini;+Infini;+Infini;359,1628;121,61;-8,004981E-08
-Infini;+Infini;+Infini;359,1271;121,6339;-4,536199E-07
-Infini;+Infini;+Infini;359,1294;121,631;3,468855E-07
-Infini;+Infini;+Infini;359,1356;121,6293;-1,334173E-07
-Infini;+Infini;+Infini;359,1349;121,6277;-1,067339E-07
0,008880001;0,07364;0,21737;359,5504;121,2961;-3,735375E-07
0,00851;0,06914;0,20653;359,5499;121,2985;-2,668125E-07
0,00878;0,07279;0,21579;359,5486;121,2974;2,401313E-07
0,00884;0,07369;0,21791;359,5481;121,299;3,335157E-07
0,0084;0,06964;0,20746;359,5455;121,2958;-1,334063E-07
0,00825;0,06815;0,20339;359,5473;121,2974;8,538002E-07
0,00772;0,06297;0,1909;359,5473;121,2974;8,538002E-07
0,00777;0,06341;0,19222;359,5491;121,295;-2,534719E-07
0,00738;0,0588;0,18165;359,5518;121,2937;-6,136686E-07
0,00725;0,0594;0,18339;359,5535;121,2923;-2,668123E-08
0,00715;0,06009;0,18507;359,5544;121,2922;-3,335154E-07
0,00692;0,05886;0,18169;359,5573;121,2942;-2,267904E-07
0,00688;0,05971;0,18331;359,5574;121,296;-6,270088E-07
0,00684;0,06054;0,18493;359,5574;121,2957;1,200655E-07
0,00684;0,06106;0,18667;359,5578;121,2966;3,06834E-07
0,0068;0,0617;0,18834;359,557;121,297;-6,003274E-07
0,00678;0,06237;0,18998;359,556;121,2958;-1,067249E-07
0,00664;0,06324;0,19152;359,5544;121,2951;-3,46856E-07
0,00655;0,06399;0,1931;359,5523;121,2929;5,869874E-07
0,00667;0,06481;0,19462;359,5515;121,2925;-4,002187E-08
0,00676;0,06546;0,19621;359,5499;121,2914;9,338437E-08
0,00682;0,06597;0,19784;359,5507;121,2925;1,734281E-07
0,00687;0,06655;0,19943;359,5515;121,2942;1,600875E-07
0,00697;0,06718;0,20099;359,5533;121,2966;5,469653E-07
0,00708;0,06778;0,20254;359,5539;121,2999;3,601966E-07
0,0073;0,06832;0,20411;359,5534;121,2988;1,200656E-07
0,00745;0,06897;0,20563;359,5571;121,3005;1,067249E-07
0,00768;0,06948;0,20719;359,5578;121,298;3,06834E-07
0,00787;0,07015;0,20867;359,5586;121,2959;-3,468558E-07
0,007929999;0,07064;0,21022;359,5612;121,2929;-1,33406E-08
0,00808;0,07132;0,21167;359,562;121,2899;-1,200654E-07
